location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Ghana,03-09-2020,44658,276,1437.199,8.882,31072945,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07
Cuba,03-09-2020,4126,98,364.275,8.652,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8
Nepal,03-09-2020,41649,251,1429.429,8.615,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78
Comoros,03-09-2020,427,7,491.033,8.05,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32
Mauritius,03-09-2020,356,10,279.925,7.863,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99
Ethiopia,03-09-2020,54409,846,473.272,7.359,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6
Tajikistan,03-09-2020,8654,69,907.352,7.234,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1
Madagascar,03-09-2020,15023,196,542.522,7.078,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04
Brunei,03-09-2020,144,3,329.156,6.857,437483,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2,30.9,,2.7,75.86
Syria,03-09-2020,2898,120,165.594,6.857,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7
Tunisia,03-09-2020,4196,81,355.033,6.854,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7
South Korea,03-09-2020,20644,329,402.659,6.417,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03
Mali,03-09-2020,2802,126,138.365,6.222,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31
Somalia,03-09-2020,3310,98,208.265,6.166,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4
Curacao,03-09-2020,68,1,414.381,6.094,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88
Slovakia,03-09-2020,4042,33,740.341,6.044,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54
